광고 소재 이름,광고 소재 ID,광고 그룹 이름,광고 그룹 ID,캠페인 이름,캠페인 ID,기간,총비용,시작일,종료일,노출수,클릭수,구매완료 수,구매완료 전환매출액
260518_브랜드위크 라이브_전환_고객여정+알림받기타겟_쇼핑프로모션_할인_1_배너형(PC),35762795,P_260518_스토어_브랜드위크 라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기타겟,4288528,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.05.18.,33904,2026.05.18.,2026.05.18.,8110,24,1,306320
260518_브랜드위크 라이브_전환_고객여정+알림받기타겟_쇼핑프로모션_할인_1_배너형(모바일),35762793,P_260518_스토어_브랜드위크 라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기타겟,4288528,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.05.18.,2166,2026.05.18.,2026.05.18.,900,2,0,0
260518_브랜드위크 라이브_전환_고객여정+알림받기타겟_쇼핑프로모션_사은_1_배너형(PC),35762791,P_260518_스토어_브랜드위크 라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기타겟,4288528,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.05.18.,121811,2026.05.18.,2026.05.18.,21344,93,2,813550
260518_브랜드위크 라이브_전환_고객여정+알림받기타겟_쇼핑프로모션_사은_1_배너형(모바일),35762789,P_260518_스토어_브랜드위크 라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기타겟,4288528,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.05.18.,84419,2026.05.18.,2026.05.18.,11516,85,0,0
260518_브랜드위크 라이브_전환_리타겟_쇼핑프로모션_할인_1_배너형(PC),35762621,P_260518_스토어_브랜드위크 라이브_GFA_쇼핑프로모션_전환_리타겟,4288519,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.05.18.,13810,2026.05.18.,2026.05.18.,7201,18,0,0
260518_브랜드위크 라이브_전환_리타겟_쇼핑프로모션_할인_1_배너형(모바일),35762619,P_260518_스토어_브랜드위크 라이브_GFA_쇼핑프로모션_전환_리타겟,4288519,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.05.18.,862,2026.05.18.,2026.05.18.,837,1,0,0
260518_브랜드위크 라이브_전환_리타겟_쇼핑프로모션_사은_1_배너형(PC),35762617,P_260518_스토어_브랜드위크 라이브_GFA_쇼핑프로모션_전환_리타겟,4288519,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.05.18.,25898,2026.05.18.,2026.05.18.,12788,31,0,0
260518_브랜드위크 라이브_전환_리타겟_쇼핑프로모션_사은_1_배너형(모바일),35762615,P_260518_스토어_브랜드위크 라이브_GFA_쇼핑프로모션_전환_리타겟,4288519,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.05.18.,61409,2026.05.18.,2026.05.18.,8479,79,0,0
260518_브랜드위크 라이브_트래픽_고객여정+알림받기타겟_네이티브_할인_1,35762199,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4287906,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,1997,2026.05.18.,2026.05.18.,78,2,0,0
260518_브랜드위크 라이브_트래픽_고객여정+알림받기타겟_네이티브_사은_1,35762197,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4287906,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,950,2026.05.18.,2026.05.18.,48,1,0,0
260518_브랜드위크 라이브_트래픽_고객여정+알림받기타겟_네이티브_할인_1_피드형(2:3),35761947,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4287906,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,1609,2026.05.18.,2026.05.18.,134,2,0,0
260518_브랜드위크 라이브_트래픽_고객여정+알림받기타겟_네이티브_사은_1_피드형(2:3),35761945,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4287906,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,24344,2026.05.18.,2026.05.18.,1109,36,0,0
260518_브랜드위크 라이브_트래픽_고객여정+알림받기타겟_네이티브_할인_1_스퀘어형,35761943,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4287906,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,9144,2026.05.18.,2026.05.18.,1725,13,0,0
260518_브랜드위크 라이브_트래픽_고객여정+알림받기타겟_네이티브_사은_1_스퀘어형,35761941,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4287906,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,3896,2026.05.18.,2026.05.18.,699,9,0,0
260518_브랜드위크 라이브_트래픽_고객여정+알림받기타겟_네이티브_할인_1_피드형,35761939,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4287906,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,1113,2026.05.18.,2026.05.18.,341,1,0,0
260518_브랜드위크 라이브_트래픽_고객여정+알림받기타겟_네이티브_사은_1_피드형,35761937,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4287906,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,838,2026.05.18.,2026.05.18.,426,1,0,0
260518_브랜드위크 라이브_트래픽_맞춤타겟_네이티브_할인_1_피드형(2:3),35761655,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_맞춤타겟,4287894,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,8957,2026.05.18.,2026.05.18.,2210,14,0,0
260518_브랜드위크 라이브_트래픽_맞춤타겟_네이티브_사은_1_피드형(2:3),35761653,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_맞춤타겟,4287894,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,3458,2026.05.18.,2026.05.18.,558,5,0,0
260518_브랜드위크 라이브_트래픽_맞춤타겟_네이티브_할인_1_스퀘어형,35761651,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_맞춤타겟,4287894,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,485,2026.05.18.,2026.05.18.,578,1,0,0
260518_브랜드위크 라이브_트래픽_맞춤타겟_네이티브_사은_1_스퀘어형,35761649,P_260518_스토어_브랜드위크 라이브_GFA_네이티브_트래픽_맞춤타겟,4287894,P_GFA_스토어_DA_트래픽,1189388,2026.05.18.,22479,2026.05.18.,2026.05.18.,6602,34,0,0
